gameid,team,player,champion,kills,deaths,assists
ESPORTSTMNT04_1970393,Hanwha Life Esports,Morgan,Irelia,0,4,0
ESPORTSTMNT04_1970393,Hanwha Life Esports,Willer,Sejuani,0,4,5
ESPORTSTMNT04_1970393,Hanwha Life Esports,Chovy,Tryndamere,1,3,4
ESPORTSTMNT04_1970393,Hanwha Life Esports,Deft,Ezreal,3,4,1
ESPORTSTMNT04_1970393,Hanwha Life Esports,Vsta,Karma,1,3,3
ESPORTSTMNT04_1970393,LNG Esports,Ale,Jax,6,0,8
ESPORTSTMNT04_1970393,LNG Esports,Tarzan,Qiyana,1,1,8
ESPORTSTMNT04_1970393,LNG Esports,ICON,Gragas,2,1,10
ESPORTSTMNT04_1970393,LNG Esports,Light,Miss Fortune,7,2,6
ESPORTSTMNT04_1970393,LNG Esports,Iwandy,Rakan,2,1,13
ESPORTSTMNT04_1970393,Hanwha Life Esports,,,5,18,13
ESPORTSTMNT04_1970393,LNG Esports,,,18,5,45
ESPORTSTMNT04_1970397,inf,Buggax,Kennen,1,1,0
ESPORTSTMNT04_1970397,inf,Solid,Jarvan IV,1,4,3
ESPORTSTMNT04_1970397,inf,cody,Sylas,0,5,3
ESPORTSTMNT04_1970397,inf,WhiteLotus,Lucian,4,3,1
ESPORTSTMNT04_1970397,inf,Ackerman,Nami,0,2,5
ESPORTSTMNT04_1970397,RED Canids,Guigo,Camille,2,0,9
ESPORTSTMNT04_1970397,RED Canids,Aegis,Lillia,0,1,7
ESPORTSTMNT04_1970397,RED Canids,Grevthar,Sett,5,2,6
ESPORTSTMNT04_1970397,RED Canids,TitaN,Miss Fortune,7,1,5
ESPORTSTMNT04_1970397,RED Canids,JoJo,Leona,1,2,8
ESPORTSTMNT04_1970397,inf,,,6,15,12
ESPORTSTMNT04_1970397,RED Canids,,,15,6,35
ESPORTSTMNT04_1970407,LNG Esports,Ale,Fiora,8,1,2
ESPORTSTMNT04_1970407,LNG Esports,Tarzan,Qiyana,4,2,5
ESPORTSTMNT04_1970407,LNG Esports,ICON,LeBlanc,2,1,9
ESPORTSTMNT04_1970407,LNG Esports,Light,Aphelios,1,0,3
ESPORTSTMNT04_1970407,LNG Esports,Iwandy,Leona,0,1,5
ESPORTSTMNT04_1970407,PEACE,Vizicsacsi,Gangplank,2,3,1
ESPORTSTMNT04_1970407,PEACE,Babip,Zed,1,5,3
ESPORTSTMNT04_1970407,PEACE,Tally,Galio,0,2,4
