player,champion,games,winrate,pickrate
Abbedagge,Akali,1,1.0,0.0003
Abbedagge,Azir,5,0.4,0.0013
Abbedagge,Galio,2,1.0,0.0005
Abbedagge,Graves,1,0.0,0.0003
Abbedagge,Irelia,2,0.5,0.0005
Abbedagge,LeBlanc,4,0.75,0.0011
Abbedagge,Orianna,1,1.0,0.0003
Abbedagge,Ryze,4,0.75,0.0011
Abbedagge,Sylas,10,0.8,0.0026
Abbedagge,Syndra,1,0.0,0.0003
Abbedagge,Taliyah,1,1.0,0.0003
Abbedagge,Tryndamere,2,0.5,0.0005
Abbedagge,Twisted Fate,7,0.4286,0.0019
Abbedagge,Yasuo,1,1.0,0.0003
Abbedagge,Yone,4,0.5,0.0011
Abbedagge,Zoe,5,0.4,0.0013
Adam,Aatrox,7,0.5714,0.0019
Adam,Darius,1,0.0,0.0003
Adam,Gnar,2,0.5,0.0005
Adam,Graves,6,0.5,0.0016
Adam,Jayce,6,0.5,0.0016
Adam,Kennen,12,0.5,0.0032
Adam,Olaf,1,1.0,0.0003
Adam,Renekton,1,1.0,0.0003
Adam,Viego,1,0.0,0.0003
Adam,Wukong,1,0.0,0.0003
Ale,Aatrox,1,1.0,0.0003
Ale,Camille,5,0.6,0.0013
Ale,Fiora,9,0.5556,0.0024
Ale,Graves,2,1.0,0.0005
Ale,Gwen,11,0.6364,0.0029
Ale,Irelia,10,0.7,0.0026
Ale,Jayce,6,0.5,0.0016
Ale,Kennen,5,0.8,0.0013
Ale,Lee Sin,2,0.5,0.0005
Ale,Lucian,1,1.0,0.0003
Ale,Sett,1,0.0,0.0003
Ale,Singed,1,0.0,0.0003
Ale,Tryndamere,1,1.0,0.0003
Ale,Vayne,1,1.0,0.0003
Ale,Viego,1,1.0,0.0003
Ale,Zed,1,0.0,0.0003
Alphari,Aatrox,1,0.0,0.0003
Alphari,Camille,7,0.5714,0.0019
Alphari,Gangplank,6,0.3333,0.0016
Alphari,Gnar,5,0.8,0.0013
Alphari,Graves,9,0.4444,0.0024
Alphari,Gwen,5,0.4,0.0013
Alphari,Hecarim,1,0.0,0.0003
Alphari,Irelia,1,0.0,0.0003
Alphari,Jarvan IV,3,1.0,0.0008
Alphari,Jax,2,0.5,0.0005
Alphari,Jayce,7,0.4286,0.0019
Alphari,Kayle,2,0.5,0.0005
Alphari,Kennen,9,0.6667,0.0024
Alphari,Malphite,1,1.0,0.0003
Alphari,Poppy,2,0.5,0.0005
Alphari,Quinn,3,0.6667,0.0008
Alphari,Renekton,5,0.8,0.0013
Alphari,Rumble,1,1.0,0.0003
Alphari,Wukong,4,1.0,0.0011
Aria,Irelia,2,0.0,0.0005
Aria,Samira,1,0.0,0.0003
Aria,Senna,1,0.0,0.0003
Aria,Sylas,3,1.0,0.0008
Aria,Tryndamere,1,1.0,0.0003
Aria,Viego,1,1.0,0.0003
Armut,Fiora,2,0.5,0.0005
Armut,Gnar,1,1.0,0.0003
Armut,Graves,19,0.6842,0.005
Armut,Gwen,3,0.6667,0.0008
Armut,Irelia,9,0.5556,0.0024
Armut,Jax,1,0.0,0.0003
Armut,Jayce,4,0.25,0.0011
Armut,Kennen,3,1.0,0.0008
Armut,Ryze,1,0.0,0.0003
Armut,Sylas,1,0.0,0.0003
Armut,Tryndamere,2,0.0,0.0005
Bdd,Aatrox,1,0.0,0.0003
Bdd,Akali,4,0.75,0.0011
Bdd,Cassiopeia,1,1.0,0.0003
Bdd,Ekko,1,1.0,0.0003
Bdd,Galio,1,1.0,0.0003
Bdd,Gragas,1,0.0,0.0003
Bdd,Graves,4,0.75,0.0011
Bdd,Irelia,8,0.75,0.0021
Bdd,Kog'Maw,2,0.5,0.0005
Bdd,LeBlanc,5,0.4,0.0013
Bdd,Lucian,1,1.0,0.0003
Bdd,Ryze,2,1.0,0.0005
Bdd,Sylas,4,0.75,0.0011
Bdd,Taliyah,2,1.0,0.0005
Bdd,Tryndamere,2,0.5,0.0005
Bdd,Xerath,2,0.5,0.0005
Bdd,Yasuo,1,1.0,0.0003
Bdd,Yone,3,0.3333,0.0008
Bdd,Zed,3,0.3333,0.0008
