id,magnitude,depth,cdi,mmi,sig,label
1,6.9,25,4,4,-33,0
2,7,579,3,3,-13,0
3,6.6,624,0,2,-98,0
4,6.8,630,1,3,-57,0
5,6.7,20,7,6,29,0
6,7.6,26,9,8,7,1
7,6.9,10,9,9,119,1
8,6.5,10,7,7,-12,0
9,7,137,7,5,-7,0
10,7.6,116,8,8,-59,1
11,6.6,12,9,8,19,2
12,7,33,9,8,71,1
13,6.5,622,3,2,-115,0
14,6.9,10,2,5,-35,0
15,6.9,10,6,4,-30,0
16,6.7,24,8,7,38,0
17,7.3,41,9,8,93,3
18,6.7,28,9,6,-60,0
19,6.8,535,2,3,-56,0
20,6.5,110,8,6,-78,0
21,6.5,8,7,4,-117,0
22,6.6,33,8,6,17,0
23,6.8,20,7,6,-38,0
24,6.6,21,6,6,-48,0
25,6.6,13,9,8,-12,2
26,7.3,14,9,5,86,0
27,6.6,12,7,4,-80,0
28,6.9,535,4,3,-28,0
29,7.3,527,4,4,58,0
30,6.5,21,7,5,-84,0
31,7,20,8,8,-56,3
32,7.1,6,1,4,8,0
33,6.6,7,1,3,-98,0
34,6.9,93,8,7,-27,0
35,6.9,16,6,4,-34,0
36,7.2,10,9,8,27,3
37,6.9,33,5,4,-30,0
38,6.9,20,5,4,-30,0
39,8.1,22,0,7,-15,0
40,7.1,55,9,7,78,0
41,8.2,46,8,6,-43,0
42,8.2,35,8,7,-28,1
43,6.5,25,0,4,-118,0
44,7.3,10,9,9,1,2
45,6.7,11,8,4,-70,0
46,6.9,43,7,6,-105,0
47,6.5,246,4,4,-117,0
48,6.5,301,6,4,-116,0
49,7,43,7,7,28,1
50,6.6,13,5,5,-96,0
51,6.5,24,0,4,-118,0
52,7.4,43,3,7,75,0
53,7.3,10,7,6,-92,0
54,7.1,43,9,8,76,2
55,7.7,10,9,4,-106,0
56,7,80,7,5,34,0
57,6.7,10,8,8,8,0
58,6.7,10,5,5,8,0
59,7,21,8,7,-9,2
60,6.5,10,4,5,-117,0
61,6.9,26,4,4,-33,0
62,6.6,10,9,8,16,1
63,7.8,28,9,7,87,0
64,7,73,6,7,52,0
65,6.6,533,4,2,-84,0
66,7.4,20,8,8,-42,2
67,7.4,10,7,7,105,0
68,6.8,112,6,6,67,0
69,6.6,107,4,6,-97,0
70,6.8,96,4,6,-30,0
71,6.5,10,7,6,-90,0
72,6.5,12,8,8,-126,0
73,7,143,5,6,2,1
74,6.8,18,9,7,57,1
75,6.5,577,0,2,-118,0
76,6.6,10,4,4,-95,0
77,6.5,10,9,7,-35,0
78,6.6,15,9,7,12,1
79,6.7,11,7,6,76,0
80,6.5,12,7,7,-112,1
81,6.9,49,4,6,107,0
82,6.6,181,0,4,-98,0
83,6.6,10,5,5,23,0
84,6.9,35,7,5,-21,0
85,7.3,46,8,6,62,0
86,6.6,57,7,6,118,1
87,8,122,9,8,98,2
88,7.6,10,7,7,-95,0
89,6.8,15,5,6,-51,0
90,7,267,7,4,101,0
91,7.5,145,7,7,121,1
92,6.7,66,6,6,-115,1
93,6.7,13,0,3,-77,0
94,6.7,63,8,8,64,2
95,6.6,35,5,4,-97,0
96,6.6,43,2,4,-96,0
97,6.8,570,3,3,-53,0
98,7,60,5,5,35,0
99,7.3,16,3,7,54,0
100,7.1,133,0,5,8,0
101,7.5,10,3,6,103,0
102,7.1,46,8,8,-2,2
103,6.8,540,0,3,-57,0
104,6.7,10,3,4,-75,0
105,6.5,10,2,4,-113,0
106,6.5,17,0,4,-118,0
107,6.7,461,0,3,-77,0
108,6.5,20,0,4,-118,0
109,6.7,550,2,3,-77,0
110,6.5,576,4,1,-117,0
111,6.9,115,3,4,-33,0
112,6.5,68,3,6,-117,0
113,7.1,21,2,5,8,0
114,7.1,630,0,3,8,0
115,6.5,9,6,7,-116,0
116,7.3,146,8,6,34,1
117,6.9,21,7,7,-74,0
118,8.2,600,5,4,26,0
119,6.5,33,6,6,-113,0
120,6.9,5,7,8,112,1
121,6.8,559,5,3,-35,0
122,6.7,40,5,6,-72,0
123,6.8,22,6,6,-49,0
124,6.7,20,8,7,-71,0
125,7.5,25,9,8,-81,1
126,7.9,14,9,4,78,0
127,7.1,39,9,7,51,0
128,6.5,90,8,7,-26,0
129,6.5,17,1,5,-117,0
130,6.5,19,8,8,-127,1
131,7.3,19,8,9,-26,3
132,6.5,110,6,5,-107,0
133,6.8,10,5,5,-41,0
134,6.6,22,3,5,-94,0
135,6.7,24,3,4,-77,0
136,6.5,119,3,5,-117,0
137,7.7,10,8,7,-106,0
138,6.6,10,5,4,-64,0
139,6.9,93,8,6,-92,1
140,6.8,5,0,4,-57,0
141,6.6,12,7,7,-90,0
142,6.9,28,9,7,106,1
143,6.5,29,7,8,17,0
144,6.6,17,6,7,-97,1
145,6.9,414,2,3,-35,0
146,6.5,595,3,3,-115,0
147,6.5,15,8,7,-50,1
148,7.9,135,9,7,-37,1
149,6.5,36,6,6,-114,0
150,7.3,627,6,3,81,0
151,6.9,12,6,4,-26,0
152,6.7,152,5,5,-42,0
153,6.5,12,0,5,-118,0
154,7.8,40,9,8,-63,0
155,6.6,8,5,4,96,0
156,6.5,13,9,8,-37,1
157,6.6,17,8,7,-75,0
158,6.9,10,5,4,87,0
159,6.5,10,6,7,-112,1
160,7.8,15,9,9,9,2
161,6.6,8,9,8,24,3
162,6.8,42,3,6,-52,0
163,6.9,596,2,3,-35,0
164,7,19,5,6,-127,0
165,6.8,476,4,3,-55,0
166,6.8,82,6,6,-43,1
167,7.2,16,6,5,31,0
168,6.6,50,4,6,-97,0
169,7.2,78,1,6,30,0
170,6.9,405,3,3,-35,0
171,6.7,16,5,7,-24,0
172,7,10,9,9,26,3
173,6.9,136,6,6,-121,1
174,6.6,212,6,4,-30,0
175,6.7,27,7,5,-76,0
176,6.7,24,7,6,-77,0
177,6.9,26,7,6,-34,0
178,7.8,24,4,3,-76,0
179,7.2,177,3,7,31,0
180,7.1,125,7,7,-40,0
181,6.7,46,5,6,-51,0
182,6.5,13,3,6,-117,0
183,6.6,85,8,6,-3,0
184,6.9,21,8,5,-30,0
185,6.7,602,2,3,-77,0
186,7.6,620,5,4,-128,0
187,7.6,606,6,5,-67,0
188,6.8,12,5,6,-53,0
189,6.5,11,7,7,-6,2
190,6.9,12,6,6,-7,0
191,6.6,10,7,4,-93,0
192,6.5,20,5,7,-111,0
193,6.6,18,7,7,-97,0
194,6.6,35,5,7,52,0
195,6.7,23,5,7,-50,0
196,6.5,27,6,7,-111,0
197,7,28,8,7,31,0
198,6.7,10,5,5,-60,0
199,6.5,6,0,5,-118,0
200,6.6,22,3,5,-97,0
201,7,48,9,7,-6,0
202,6.9,29,4,7,-34,0
203,7,11,8,6,-9,0
204,6.5,20,4,4,-82,0
205,6.5,460,3,4,-116,0
206,7.8,664,6,3,127,0
207,6.8,72,5,6,-6,0
208,6.8,10,1,5,-57,0
209,6.9,11,1,4,-36,0
210,6.8,11,1,4,-57,0
211,6.8,35,8,6,63,0
