gameid,team,player,champion,win_loss
112966697102367348,MDK,MDK Myrwn,KSante,Win
112966697102367348,MDK,MDK Elyoya,Nidalee,Win
112966697102367348,MDK,MDK Fresskowy,Syndra,Win
112966697102367348,MDK,MDK Supa,Jinx,Win
112966697102367348,MDK,MDK Alvaro,Nautilus,Win
112966697102367348,VKE,VKE Nanaue,Camille,Loss
112966697102367348,VKE,VKE Gury,LeeSin,Loss
112966697102367348,VKE,VKE Kati,Orianna,Loss
112966697102367348,VKE,VKE Shogun,Ezreal,Loss
112966697102367348,VKE,VKE Bie,Poppy,Loss
112966697102367349,MDK,MDK Myrwn,KSante,Win
112966697102367349,MDK,MDK Elyoya,Nidalee,Win
112966697102367349,MDK,MDK Fresskowy,Syndra,Win
112966697102367349,MDK,MDK Supa,Jinx,Win
112966697102367349,MDK,MDK Alvaro,Rell,Win
112966697102367349,VKE,VKE Nanaue,Renekton,Loss
112966697102367349,VKE,VKE Gury,JarvanIV,Loss
112966697102367349,VKE,VKE Kati,Orianna,Loss
112966697102367349,VKE,VKE Shogun,Jhin,Loss
112966697102367349,VKE,VKE Bie,Alistar,Loss
112966697102367352,PSG,PSG Azhi,Rumble,Loss
112966697102367352,PSG,PSG JunJia,Skarner,Loss
112966697102367352,PSG,PSG Maple,Tristana,Loss
112966697102367352,PSG,PSG Betty,MissFortune,Loss
112966697102367352,PSG,PSG Woody,Rell,Loss
112966697102367352,PNG,PNG Wizer,Jax,Win
112966697102367352,PNG,PNG CarioK,Sejuani,Win
112966697102367352,PNG,PNG dyNquedo,Yone,Win
112966697102367352,PNG,PNG TitaN,Lucian,Win
112966697102367352,PNG,PNG Kuri,Nami,Win
112966697102367353,PSG,PSG Azhi,Gnar,Win
112966697102367353,PSG,PSG JunJia,Skarner,Win
112966697102367353,PSG,PSG Maple,Akali,Win
112966697102367353,PSG,PSG Betty,Jhin,Win
112966697102367353,PSG,PSG Woody,Rell,Win
112966697102367353,PNG,PNG Wizer,Rumble,Loss
112966697102367353,PNG,PNG CarioK,Vi,Loss
112966697102367353,PNG,PNG dyNquedo,Yone,Loss
112966697102367353,PNG,PNG TitaN,Ezreal,Loss
112966697102367353,PNG,PNG Kuri,Braum,Loss
112966697102367354,PNG,PNG Wizer,Gnar,Loss
112966697102367354,PNG,PNG CarioK,LeeSin,Loss
112966697102367354,PNG,PNG dyNquedo,Syndra,Loss
112966697102367354,PNG,PNG TitaN,Ashe,Loss
112966697102367354,PNG,PNG Kuri,Alistar,Loss
112966697102367354,PSG,PSG Azhi,Vayne,Win
112966697102367354,PSG,PSG JunJia,MonkeyKing,Win
112966697102367354,PSG,PSG Maple,Akali,Win
112966697102367354,PSG,PSG Betty,Jhin,Win
112966697102367354,PSG,PSG Woody,Leona,Win
112966697102367356,GAM,GAM Kiaya,Aurora,Win
112966697102367356,GAM,GAM Levi,Shyvana,Win
112966697102367356,GAM,GAM Emo,Tristana,Win
112966697102367356,GAM,GAM Easylove,Jhin,Win
112966697102367356,GAM,GAM Elio,Poppy,Win
112966697102367356,SHG,SHG Evi,Rumble,Loss
112966697102367356,SHG,SHG Forest,JarvanIV,Loss
112966697102367356,SHG,SHG DasheR,Lucian,Loss
112966697102367356,SHG,SHG Marble,Ziggs,Loss
112966697102367356,SHG,SHG Vsta,Rell,Loss
112966697102367361,100,100 Sniper,KSante,Loss
112966697102367361,100,100 River,MonkeyKing,Loss
112966697102367361,100,100 Quid,Aurora,Loss
112966697102367361,100,100 Tomo,Lucian,Loss
112966697102367361,100,100 Eyla,Nami,Loss
112966697102367361,R7,R7 Summit,Renekton,Win
112966697102367361,R7,R7 Oddie,Nocturne,Win
112966697102367361,R7,R7 Keine,Orianna,Win
112966697102367361,R7,R7 Ceo,Ezreal,Win
112966697102367361,R7,R7 Lyonz,Nautilus,Win
112966697102367362,R7,R7 Summit,Renekton,Win
112966697102367362,R7,R7 Oddie,MonkeyKing,Win
112966697102367362,R7,R7 Keine,Leblanc,Win
112966697102367362,R7,R7 Ceo,Lucian,Win
