gameid,team,player,champion,win_loss
112966697102367348,MDK,Myrwn,KSante,Win
112966697102367348,MDK,Elyoya,Nidalee,Win
112966697102367348,MDK,Fresskowy,Syndra,Win
112966697102367348,MDK,Supa,Jinx,Win
112966697102367348,MDK,Alvaro,Nautilus,Win
112966697102367348,VKE,Nanaue,Camille,Loss
112966697102367348,VKE,Gury,LeeSin,Loss
112966697102367348,VKE,Kati,Orianna,Loss
112966697102367348,VKE,Shogun,Ezreal,Loss
112966697102367348,VKE,Bie,Poppy,Loss
112966697102367349,MDK,Myrwn,KSante,Win
112966697102367349,MDK,Elyoya,Nidalee,Win
112966697102367349,MDK,Fresskowy,Syndra,Win
112966697102367349,MDK,Supa,Jinx,Win
112966697102367349,MDK,Alvaro,Rell,Win
112966697102367349,VKE,Nanaue,Renekton,Loss
112966697102367349,VKE,Gury,JarvanIV,Loss
112966697102367349,VKE,Kati,Orianna,Loss
112966697102367349,VKE,Shogun,Jhin,Loss
112966697102367349,VKE,Bie,Alistar,Loss
112966697102367352,PSG,Azhi,Rumble,Loss
112966697102367352,PSG,JunJia,Skarner,Loss
112966697102367352,PSG,Maple,Tristana,Loss
112966697102367352,PSG,Betty,MissFortune,Loss
112966697102367352,PSG,Woody,Rell,Loss
112966697102367352,PNG,Wizer,Jax,Win
112966697102367352,PNG,CarioK,Sejuani,Win
112966697102367352,PNG,dyNquedo,Yone,Win
112966697102367352,PNG,TitaN,Lucian,Win
112966697102367352,PNG,Kuri,Nami,Win
112966697102367353,PSG,Azhi,Gnar,Win
112966697102367353,PSG,JunJia,Skarner,Win
112966697102367353,PSG,Maple,Akali,Win
112966697102367353,PSG,Betty,Jhin,Win
112966697102367353,PSG,Woody,Rell,Win
112966697102367353,PNG,Wizer,Rumble,Loss
112966697102367353,PNG,CarioK,Vi,Loss
112966697102367353,PNG,dyNquedo,Yone,Loss
112966697102367353,PNG,TitaN,Ezreal,Loss
112966697102367353,PNG,Kuri,Braum,Loss
112966697102367354,PNG,Wizer,Gnar,Loss
112966697102367354,PNG,CarioK,LeeSin,Loss
112966697102367354,PNG,dyNquedo,Syndra,Loss
112966697102367354,PNG,TitaN,Ashe,Loss
112966697102367354,PNG,Kuri,Alistar,Loss
112966697102367354,PSG,Azhi,Vayne,Win
112966697102367354,PSG,JunJia,MonkeyKing,Win
112966697102367354,PSG,Maple,Akali,Win
112966697102367354,PSG,Betty,Jhin,Win
112966697102367354,PSG,Woody,Leona,Win
112966697102367356,GAM,Kiaya,Aurora,Win
112966697102367356,GAM,Levi,Shyvana,Win
112966697102367356,GAM,Emo,Tristana,Win
112966697102367356,GAM,Easylove,Jhin,Win
112966697102367356,GAM,Elio,Poppy,Win
112966697102367356,SHG,Evi,Rumble,Loss
112966697102367356,SHG,Forest,JarvanIV,Loss
112966697102367356,SHG,DasheR,Lucian,Loss
112966697102367356,SHG,Marble,Ziggs,Loss
112966697102367356,SHG,Vsta,Rell,Loss
112966697102367361,100,Sniper,KSante,Loss
112966697102367361,100,River,MonkeyKing,Loss
112966697102367361,100,Quid,Aurora,Loss
112966697102367361,100,Tomo,Lucian,Loss
112966697102367361,100,Eyla,Nami,Loss
112966697102367361,R7,Summit,Renekton,Win
112966697102367361,R7,Oddie,Nocturne,Win
112966697102367361,R7,Keine,Orianna,Win
112966697102367361,R7,Ceo,Ezreal,Win
112966697102367361,R7,Lyonz,Nautilus,Win
112966697102367362,R7,Summit,Renekton,Win
112966697102367362,R7,Oddie,MonkeyKing,Win
112966697102367362,R7,Keine,Leblanc,Win
112966697102367362,R7,Ceo,Lucian,Win
112966697102367362,R7,Lyonz,Nami,Win
112966697102367362,100,Sniper,KSante,Loss
112966697102367362,100,River,Viego,Loss
112966697102367362,100,Quid,Vex,Loss
112966697102367362,100,Tomo,Jinx,Loss
112966697102367362,100,Eyla,Nautilus,Loss
112966697102367364,MDK,Myrwn,Camille,Win
112966697102367364,MDK,Elyoya,Skarner,Win
112966697102367364,MDK,Fresskowy,Renekton,Win
112966697102367364,MDK,Supa,Ziggs,Win
112966697102367364,MDK,Alvaro,Rell,Win
112966697102367364,PSG,Azhi,Udyr,Loss
112966697102367364,PSG,JunJia,MonkeyKing,Loss
112966697102367364,PSG,Maple,Akali,Loss
112966697102367364,PSG,Betty,Ashe,Loss
112966697102367364,PSG,Woody,Braum,Loss
112966697102367365,PSG,Azhi,Gnar,Win
112966697102367365,PSG,JunJia,Vi,Win
112966697102367365,PSG,Maple,Ahri,Win
112966697102367365,PSG,Betty,MissFortune,Win
112966697102367365,PSG,Woody,Leona,Win
112966697102367365,MDK,Myrwn,Renekton,Loss
112966697102367365,MDK,Elyoya,Viego,Loss
112966697102367365,MDK,Fresskowy,Syndra,Loss
112966697102367365,MDK,Supa,Ezreal,Loss
112966697102367365,MDK,Alvaro,Rell,Loss
112966697102367366,MDK,Myrwn,Aurora,Win
112966697102367366,MDK,Elyoya,JarvanIV,Win
112966697102367366,MDK,Fresskowy,Vex,Win
112966697102367366,MDK,Supa,Ezreal,Win
112966697102367366,MDK,Alvaro,Alistar,Win
112966697102367366,PSG,Azhi,Corki,Loss
112966697102367366,PSG,JunJia,Skarner,Loss
112966697102367366,PSG,Maple,Leblanc,Loss
112966697102367366,PSG,Betty,MissFortune,Loss
112966697102367366,PSG,Woody,Leona,Loss
112966697102367368,GAM,Kiaya,Rumble,Win
112966697102367368,GAM,Levi,Shyvana,Win
112966697102367368,GAM,Emo,Yone,Win
112966697102367368,GAM,Easylove,MissFortune,Win
112966697102367368,GAM,Elio,Poppy,Win
112966697102367368,R7,Summit,Gnar,Loss
112966697102367368,R7,Oddie,MonkeyKing,Loss
112966697102367368,R7,Keine,Syndra,Loss
112966697102367368,R7,Ceo,Ezreal,Loss
112966697102367368,R7,Lyonz,Braum,Loss
112966697102367369,GAM,Kiaya,Rumble,Win
112966697102367369,GAM,Levi,MonkeyKing,Win
112966697102367369,GAM,Emo,Yone,Win
112966697102367369,GAM,Easylove,Jhin,Win
112966697102367369,GAM,Elio,Rakan,Win
112966697102367369,R7,Summit,KSante,Loss
112966697102367369,R7,Oddie,JarvanIV,Loss
112966697102367369,R7,Keine,Jayce,Loss
112966697102367369,R7,Ceo,Ziggs,Loss
