gameid,win1,win2,win3,win4,win5,lose1,lose2,lose3,lose4,lose5
5504911534,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,Armut,_NOOB_,_NOOB_,Light,_NOOB_
5504666680,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5504579193,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5504592085,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5504088360,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5503669508,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,Jiejie,_NOOB_,_NOOB_,_NOOB_
5503574799,Xiaohu,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,Wei,_NOOB_,_NOOB_
5502204176,_NOOB_,_NOOB_,_NOOB_,Carzzy,_NOOB_,Nuguri,_NOOB_,_NOOB_,Tactical,Iwandy
5501808323,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Carzzy,_NOOB_
5500879803,Canna,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,Canyon,_NOOB_,Carzzy,_NOOB_
5498930759,Xiaohu,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_
5498842790,_NOOB_,Canyon,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5497612633,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5497486619,_NOOB_,_NOOB_,_NOOB_,Tactical,Vulcan,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5495907748,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Ale,_NOOB_,Tactical,_NOOB_
5495900500,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_
5495738998,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5495753441,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Viper,_NOOB_
5494894814,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5494758545,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5494239515,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_
5491632627,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5491489240,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,ShowMaker,_NOOB_,_NOOB_,Tactical,_NOOB_
5491102799,xiaolaohu,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5490968148,_NOOB_,_NOOB_,Canyon,Tactical,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5490753446,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Crisp,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_
5490370275,_NOOB_,Wei,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5490219941,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Elyoya,_NOOB_,Tactical,_NOOB_
5490222059,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_
5489571438,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5488517872,_NOOB_,Crisp,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5488513025,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_
5488461866,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,CoreJJ
5488366271,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_
5488301562,Ale,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5488175419,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5488034079,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,CoreJJ
5487887897,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5487568792,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5486400392,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5486434569,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_
5486298349,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_
5486230999,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5486165005,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_
5485979345,_NOOB_,Elyoya,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5485585926,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Zven,CoreJJ
5485534720,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Zven,_NOOB_
5485486221,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5485379804,_NOOB_,_NOOB_,_NOOB_,Tactical,_NOOB_,Adam,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5504310976,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5504166644,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5503771763,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5503688551,_NOOB_,_NOOB_,Canna,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,Viper,_NOOB_
5503624859,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5502868103,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5502021950,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Alphari,Oner,_NOOB_,_NOOB_,_NOOB_
5501853889,Rascal,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Bdd,_NOOB_,_NOOB_
5500902926,Nuguri,_NOOB_,_NOOB_,Viper,_NOOB_,Armut,Oner,_NOOB_,_NOOB_,_NOOB_
5500598713,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5500549704,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5500504618,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5499251251,Khan,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Gumayusi,_NOOB_
5499034356,_NOOB_,Jiejie,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5498328471,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5497749625,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5497777348,_NOOB_,Oner,_NOOB_,_NOOB_,Meiko,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5497735327,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5497791155,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,CoreJJ
5497708039,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5497663728,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Nuguri,Oner,_NOOB_,_NOOB_,_NOOB_
5497616139,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,Nuguri,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5497440072,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Wei,_NOOB_,_NOOB_,_NOOB_
5496174150,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5496202343,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5496160885,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Elyoya,_NOOB_,_NOOB_,_NOOB_
5496137284,_NOOB_,Elyoya,_NOOB_,Gumayusi,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5495717245,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5495032536,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5494962082,_NOOB_,Oner,_NOOB_,_NOOB_,CoreJJ,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5494906190,_NOOB_,Oner,_NOOB_,Gumayusi,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5494942983,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5494780081,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5494188761,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5494018280,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5493461730,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5493411546,_NOOB_,Oner,ShowMaker,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5493395124,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,Rascal,_NOOB_,_NOOB_,GALA,_NOOB_
5493268389,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,Armut,_NOOB_,_NOOB_,Hans-sama,_NOOB_
5493254809,_NOOB_,Oner,_NOOB_,Gumayusi,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Zven,_NOOB_
5493126929,_NOOB_,_NOOB_,_NOOB_,Viper,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5493121193,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5492878046,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5492872624,Adam,Oner,ShowMaker,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5492573856,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5491836974,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5491758909,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5491833886,Rascal,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5491824001,Canna,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5491727401,xiaolaohu,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,Iwandy,_NOOB_
5491599331,_NOOB_,Oner,_NOOB_,Carzzy,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5491575010,_NOOB_,_NOOB_,ShowMaker,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5490974147,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_
5490928880,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5490926064,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5490498176,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5490533337,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,CoreJJ
5490492880,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5490420207,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,CoreJJ
5490121312,_NOOB_,Oner,Canyon,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5489344757,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5489233232,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5488762262,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,CoreJJ
5488701956,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,CoreJJ
5488648878,Alphari,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5488607721,Alphari,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5488660790,Rascal,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5488217863,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5488243111,_NOOB_,Oner,_NOOB_,Upset,Hylissang,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5487882182,_NOOB_,Oner,_NOOB_,_NOOB_,Crisp,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5487845801,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5487777412,_NOOB_,_NOOB_,ShowMaker,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5487651779,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5487536061,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5487294543,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,CoreJJ
5487292413,_NOOB_,Canyon,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,CoreJJ
5487258480,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5487276369,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Abbedagge,_NOOB_,_NOOB_,_NOOB_
5487264470,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5487212479,_NOOB_,_NOOB_,_NOOB_,Rascal,_NOOB_,Abbedagge,Oner,_NOOB_,_NOOB_,Meiko
5487099796,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5487104212,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5486563570,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5486185436,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5486107119,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5486073756,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5485904422,_NOOB_,Oner,_NOOB_,_NOOB_,Crisp,Nuguri,_NOOB_,Maple,_NOOB_,_NOOB_
5485819303,xiaolaohu,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5485655634,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5485693105,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5485671864,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5485651281,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5485617750,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5485566606,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5485583267,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Maple,_NOOB_,_NOOB_
5485438953,_NOOB_,Oner,_NOOB_,_NOOB_,Crisp,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5485433784,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5485395529,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Oner,_NOOB_,_NOOB_,_NOOB_
5485330826,_NOOB_,Oner,Doinb,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5497763198,xiaolaohu,_NOOB_,Abbedagge,_NOOB_,_NOOB_,_NOOB_,Wei,_NOOB_,Hans-sama,_NOOB_
5497707364,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_,_NOOB_,_NOOB_,Abbedagge,GALA,Ming
5497691232,_NOOB_,Bwipo,_NOOB_,Hans-sama,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5497584680,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_,xiaolaohu,_NOOB_,Abbedagge,_NOOB_,_NOOB_
5496387349,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_
5496142381,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_
5495767030,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_
5495466019,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Trymbi,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_
5495376930,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Nuguri,_NOOB_,_NOOB_,Hans-sama,_NOOB_
5495402487,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_,Bwipo,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5494909433,xiaolaohu,Tian,_NOOB_,Hans-sama,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5494877269,_NOOB_,Tian,_NOOB_,Hans-sama,Iwandy,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5494903917,_NOOB_,Wei,_NOOB_,Hans-sama,_NOOB_,_NOOB_,_NOOB_,Canna,_NOOB_,_NOOB_
5494560049,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_
5494055175,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Meiko
5493041876,Canna,_NOOB_,_NOOB_,Hans-sama,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_
5492041410,_NOOB_,Wei,_NOOB_,Meiko,Trymbi,Adam,_NOOB_,_NOOB_,Hans-sama,_NOOB_
5491753750,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,_NOOB_,Canyon,_NOOB_,Hans-sama,_NOOB_
5491780702,_NOOB_,_NOOB_,_NOOB_,Hans-sama,_NOOB_,Alphari,_NOOB_,_NOOB_,_NOOB_,_NOOB_
