gameid,win1,win2,win3,win4,win5,lose1,lose2,lose3,lose4,lose5
5504911534,,,,Tactical_暴走萝莉,,Armut_法外狂徒,,,Light_残月之肃,
5504666680,,,,Tactical_戏命师,,,,,,
5504579193,,,,Tactical_残月之肃,,,,,,
5504592085,,,,Tactical_圣枪游侠,,,,,,
5504088360,,,,Tactical_戏命师,,,,,,
5503669508,,,,Tactical_虚空之女,,,Jiejie_元素女皇,,,
5503574799,Xiaohu_灵罗娃娃,,,Tactical_残月之肃,,,,Wei_解脱者,,
5502204176,,,,Carzzy_探险家,,Nuguri_刀锋舞者,,,Tactical_暗夜猎手,Iwandy_星界游神
5501808323,,,,Tactical_圣枪游侠,,,,,Carzzy_残月之肃,
5500879803,Canna_无双剑姬,,,Tactical_瘟疫之源,,,Canyon_雪原双子,,Carzzy_沙漠玫瑰,
5498930759,Xiaohu_狂暴之心,,,,,,,,Tactical_戏命师,
5498842790,,Canyon_岩雀,,Tactical_涤魂圣枪,,,,,,
5497612633,,,,Tactical_圣枪游侠,,,,,,
5497486619,,,,Tactical_探险家,Vulcan_唤潮鲛姬,,,,,
5495907748,,,,,,,Ale_影流之主,,Tactical_残月之肃,
5495900500,,,,,,,,,Tactical_爆破鬼才,
5495738998,,,,Tactical_赏金猎人,,,,,,
5495753441,,,,Tactical_残月之肃,,,,,Viper_荣耀行刑官,
5494894814,,,,Tactical_残月之肃,,,,,,
5494758545,,,,Tactical_圣枪游侠,,,,,,
5494239515,,,,,,,,,Tactical_残月之肃,
5491632627,,,,Tactical_爆破鬼才,,,,,,
5491489240,,,,,,ShowMaker_青钢影,,,Tactical_沙漠玫瑰,
5491102799,xiaolaohu_青钢影,,,Tactical_赏金猎人,,,,,,
5490968148,,,Canyon_解脱者,Tactical_残月之肃,,,Oner_刀锋之影,,,
5490753446,,,,,Crisp_幻翎,,,,Tactical_圣枪游侠,
5490370275,,Wei_时间刺客,,Tactical_复仇之矛,,,,,,
5490219941,,Oner_时间刺客,,,,,Elyoya_岩雀,,Tactical_探险家,
5490222059,,,,,,,,,Tactical_赏金猎人,
5489571438,,,,Tactical_戏命师,,,,,,
5488517872,,Crisp_盲僧,,Tactical_探险家,,,,,,
5488513025,,,,,,,,,Tactical_瘟疫之源,
5488461866,,,,Tactical_瘟疫之源,,,,,,CoreJJ_幻翎
5488366271,,,,,,,,,Tactical_逆羽,
5488301562,Ale_未来守护者,,,Tactical_暗夜猎手,,,,,,
5488175419,,,,Tactical_赏金猎人,,,,,,
5488034079,,,,Tactical_圣枪游侠,,,,,,CoreJJ_弗雷尔卓德之心
5487887897,,,,Tactical_荣耀行刑官,,,,,,
5487568792,,,,Tactical_探险家,,,,,,
5486400392,,,,Tactical_探险家,,,,,,
5486434569,,,,,,,,,Tactical_沙漠玫瑰,
5486298349,,,,,,,,,Tactical_戏命师,
5486230999,,,,Tactical_爆破鬼才,,,,,,
5486165005,,,,,,,,,Tactical_圣枪游侠,
5485979345,,Elyoya_影流之主,,Tactical_爆破鬼才,,,,,,
5485585926,,,,Tactical_圣枪游侠,,,,,Zven_赏金猎人,CoreJJ_曙光女神
5485534720,,,,Tactical_沙漠玫瑰,,,,,Zven_圣枪游侠,
5485486221,,,,Tactical_圣枪游侠,,,,,,
5485379804,,,,Tactical_皮城女警,,Adam_狂暴之心,,,,
5504310976,,,,,,,Oner_破败之王,,,
5504166644,,Oner_破败之王,,,,,,,,
5503771763,,,,,,,Oner_元素女皇,,,
5503688551,,,Canna_法外狂徒,,,,Oner_元素女皇,,Viper_圣枪游侠,
5503624859,,,,,,,Oner_德邦总管,,,
5502868103,,Oner_元素女皇,,,,,,,,
5502021950,,,,,,Alphari_正义天使,Oner_盲僧,,,
5501853889,Rascal_法外狂徒,Oner_刀锋之影,,,,,,Bdd_离群之刺,,
5500902926,Nuguri_法外狂徒,,,Viper_圣枪游侠,,Armut_灵罗娃娃,Oner_刀锋之影,,,
5500598713,,Oner_狂野女猎手,,,,,,,,
5500549704,,,,,,,Oner_刀锋之影,,,
5500504618,,,,,,,Oner_元素女皇,,,
5499251251,Khan_暗裔剑魔,Oner_元素女皇,,,,,,,Gumayusi_赏金猎人,
5499034356,,Jiejie_刀锋之影,,,,,Oner_元素女皇,,,
5498328471,,,,,,,Oner_德玛西亚皇子,,,
5497749625,,Oner_元素女皇,,,,,,,,
5497777348,,Oner_元素女皇,,,Meiko_魔法猫咪,,,,,
5497735327,,,,,,,Oner_元素女皇,,,
5497791155,,Oner_德玛西亚皇子,,,,,,,,CoreJJ_牛头酋长
5497708039,,Oner_刀锋之影,,,,,,,,
5497663728,,,,,,Nuguri_灵罗娃娃,Oner_影流之主,,,
5497616139,,Oner_元素女皇,,,,Nuguri_刀锋舞者,,,,
5497440072,,Oner_元素女皇,,,,,Wei_战争之影,,,
5496174150,,Oner_时间刺客,,,,,,,,
5496202343,,Oner_痛苦之拥,,,,,,,,
5496160885,,Oner_元素女皇,,,,,Elyoya_痛苦之拥,,,
5496137284,,Elyoya_元素女皇,,Gumayusi_戏命师,,,Oner_痛苦之拥,,,
5495717245,,Oner_酒桶,,,,,,,,
5495032536,,,,,,,Oner_德玛西亚皇子,,,
5494962082,,Oner_酒桶,,,CoreJJ_魂锁典狱长,,,,,
5494906190,,Oner_影流之镰,,Gumayusi_圣枪游侠,,,,,,
5494942983,,,,,,,Oner_岩雀,,,
5494780081,,,,,,,Oner_元素女皇,,,
5494188761,,,,,,,Oner_狂野女猎手,,,
5494018280,,,,,,,Oner_德邦总管,,,
5493461730,,Oner_德邦总管,,,,,,,,
5493411546,,Oner_刀锋之影,ShowMaker_解脱者,,,,,,,
5493395124,,Oner_盲僧,,,,Rascal_刀锋舞者,,,GALA_圣枪游侠,
5493268389,,Oner_元素女皇,,,,Armut_法外狂徒,,,Hans-sama_圣枪游侠,
5493254809,,Oner_元素女皇,,Gumayusi_圣枪游侠,,,,,Zven_沙漠玫瑰,
5493126929,,,,Viper_荣耀行刑官,,,Oner_元素女皇,,,
5493121193,,Oner_盲僧,,,,,,,,
5492878046,,,,,,,Oner_盲僧,,,
5492872624,Adam_迷失之牙,Oner_德邦总管,ShowMaker_诡术妖姬,,,,,,,
5492573856,,Oner_盲僧,,,,,,,,
5491836974,,Oner_死亡颂唱者,,,,,,,,
5491758909,,,,,,,Oner_时间刺客,,,
5491833886,Rascal_刀锋舞者,Oner_盲僧,,,,,,,,
5491824001,Canna_刀锋舞者,Oner_刀锋之影,,,,,,,,
5491727401,xiaolaohu_未来守护者,,,,,,Oner_盲僧,,Iwandy_赏金猎人,
5491599331,,Oner_元素女皇,,Carzzy_远古巫灵,,,,,,
5491575010,,,ShowMaker_解脱者,,,,Oner_元素女皇,,,
5490974147,,Oner_刀锋之影,,,,,,,Hans-sama_荣耀行刑官,
5490928880,,,,,,,Oner_元素女皇,,,
5490926064,,Oner_岩雀,,,,,,,,
5490498176,,Oner_元素女皇,,,,,,,,
5490533337,,,,,,,Oner_盲僧,,,CoreJJ_魂锁典狱长
5490492880,,Oner_时间刺客,,,,,,,,
5490420207,,Oner_刀锋之影,,,,,,,,CoreJJ_腕豪
5490121312,,Oner_法外狂徒,Canyon_解脱者,,,,,,,
5489344757,,Oner_元素女皇,,,,,,,,
5489233232,,Oner_岩雀,,,,,,,,
5488762262,,Oner_盲僧,,,,,,,,CoreJJ_镕铁少女
5488701956,,Oner_盲僧,,,,,,,,CoreJJ_弗雷尔卓德之心
5488648878,Alphari_荒漠屠夫,,,,,,Oner_刀锋之影,,,
5488607721,Alphari_迷失之牙,Oner_盲僧,,,,,,,,
5488660790,Rascal_不灭狂雷,Oner_岩雀,,,,,,,,
5488217863,,,,,,,Oner_盲僧,,,
5488243111,,Oner_盲僧,,Upset_圣枪游侠,Hylissang_唤潮鲛姬,,,,,
5487882182,,Oner_盲僧,,,Crisp_复仇焰魂,,,,,
5487845801,,Oner_狂野女猎手,,,,,,,,
5487777412,,,ShowMaker_封魔剑魂,,,,Oner_时间刺客,,,
5487651779,,Oner_时间刺客,,,,,,,,
5487536061,,,,,,,Oner_岩雀,,,
5487294543,,Oner_时间刺客,,,,,,,,CoreJJ_弗雷尔卓德之心
5487292413,,Canyon_盲僧,,,,,Oner_狂野女猎手,,,CoreJJ_殇之木乃伊
5487258480,,,,,,,Oner_盲僧,,,
5487276369,,Oner_岩雀,,,,,Abbedagge_法外狂徒,,,
5487264470,,Oner_法外狂徒,,,,,,,,
5487212479,,,,Rascal_戏命师,,Abbedagge_蛮族之王,Oner_狂野女猎手,,,Meiko_殇之木乃伊
5487099796,,Oner_时间刺客,,,,,,,,
5487104212,,Oner_盲僧,,,,,,,,
5486563570,,Oner_狂野女猎手,,,,,,,,
5486185436,,Oner_盲僧,,,,,,,,
5486107119,,Oner_刀锋之影,,,,,,,,
5486073756,,Oner_元素女皇,,,,,,,,
5485904422,,Oner_元素女皇,,,Crisp_酒桶,Nuguri_未来守护者,,Maple_诡术妖姬,,
5485819303,xiaolaohu_未来守护者,,,,,,Oner_岩雀,,,
5485655634,,Oner_刀锋之影,,,,,,,,
5485693105,,Oner_岩雀,,,,,,,,
5485671864,,Oner_盲僧,,,,,,,,
5485651281,,,,,,,Oner_元素女皇,,,
5485617750,,Oner_盲僧,,,,,,,,
5485566606,,,,,,,Oner_皎月女神,,,
5485583267,,Oner_岩雀,,,,,,Maple_符文法师,,
5485438953,,Oner_元素女皇,,,Crisp_唤潮鲛姬,,,,,
5485433784,,Oner_岩雀,,,,,,,,
5485395529,,,,,,,Oner_时间刺客,,,
5485330826,,Oner_盲僧,Doinb_符文法师,,,,,,,
5497763198,xiaolaohu_无双剑姬,,Abbedagge_正义巨像,,,,Wei_元素女皇,,Hans-sama_赏金猎人,
5497707364,,,,Hans-sama_赏金猎人,,,,Abbedagge_诡术妖姬,GALA_圣枪游侠,Ming_唤潮鲛姬
5497691232,,Bwipo_时间刺客,,Hans-sama_圣枪游侠,,,,,,
5497584680,,,,Hans-sama_荣耀行刑官,,xiaolaohu_武器大师,,Abbedagge_符文法师,,
5496387349,,,,,,,,,Hans-sama_圣枪游侠,
5496142381,,,,,,,,,Hans-sama_圣枪游侠,
5495767030,,,,,,,,,Hans-sama_荣耀行刑官,
5495466019,,,,,Trymbi_唤潮鲛姬,,,,Hans-sama_荣耀行刑官,
5495376930,,,,,,Nuguri_法外狂徒,,,Hans-sama_探险家,
5495402487,,,,Hans-sama_圣枪游侠,,Bwipo_腕豪,,,,
5494909433,xiaolaohu_武器大师,Tian_德邦总管,,Hans-sama_荣耀行刑官,,,,,,
5494877269,,Tian_盲僧,,Hans-sama_赏金猎人,Iwandy_魔法猫咪,,,,,
5494903917,,Wei_皎月女神,,Hans-sama_残月之肃,,,,Canna_暗黑元首,,
5494560049,,,,,,,,,Hans-sama_探险家,
5494055175,,,,Hans-sama_残月之肃,,,,,,Meiko_魔法猫咪
5493041876,Canna_无双剑姬,,,Hans-sama_荣耀行刑官,,,,,,
