gameid,team,player,champion
5504911534,win,Tactical,暴走萝莉
5504911534,lose,Armut,法外狂徒
5504911534,lose,Light,残月之肃
5504666680,win,Tactical,戏命师
5504579193,win,Tactical,残月之肃
5504592085,win,Tactical,圣枪游侠
5504088360,win,Tactical,戏命师
5503669508,win,Tactical,虚空之女
5503669508,lose,Jiejie,元素女皇
5503574799,win,Xiaohu,灵罗娃娃
5503574799,win,Tactical,残月之肃
5503574799,lose,Wei,解脱者
5502204176,win,Carzzy,探险家
5502204176,lose,Nuguri,刀锋舞者
5502204176,lose,Tactical,暗夜猎手
5502204176,lose,Iwandy,星界游神
5501808323,win,Tactical,圣枪游侠
5501808323,lose,Carzzy,残月之肃
5500879803,win,Canna,无双剑姬
5500879803,win,Tactical,瘟疫之源
5500879803,lose,Canyon,雪原双子
5500879803,lose,Carzzy,沙漠玫瑰
5498930759,win,Xiaohu,狂暴之心
5498930759,lose,Tactical,戏命师
5498842790,win,Canyon,岩雀
5498842790,win,Tactical,涤魂圣枪
5497612633,win,Tactical,圣枪游侠
5497486619,win,Tactical,探险家
5497486619,win,Vulcan,唤潮鲛姬
5495907748,lose,Ale,影流之主
5495907748,lose,Tactical,残月之肃
5495900500,lose,Tactical,爆破鬼才
5495738998,win,Tactical,赏金猎人
5495753441,win,Tactical,残月之肃
5495753441,lose,Viper,荣耀行刑官
5494894814,win,Tactical,残月之肃
5494758545,win,Tactical,圣枪游侠
5494239515,lose,Tactical,残月之肃
5491632627,win,Tactical,爆破鬼才
5491489240,lose,ShowMaker,青钢影
5491489240,lose,Tactical,沙漠玫瑰
5491102799,win,xiaolaohu,青钢影
5491102799,win,Tactical,赏金猎人
5490968148,win,Canyon,解脱者
5490968148,win,Tactical,残月之肃
5490968148,lose,Oner,刀锋之影
5490753446,win,Crisp,幻翎
5490753446,lose,Tactical,圣枪游侠
5490370275,win,Wei,时间刺客
5490370275,win,Tactical,复仇之矛
5490219941,win,Oner,时间刺客
5490219941,lose,Elyoya,岩雀
5490219941,lose,Tactical,探险家
