player,win,total,winrate
Tactical_暴走萝莉,1,1,1.0
Crisp_魂锁典狱长,1,1,1.0
Trymbi_法外狂徒,1,1,1.0
FBI_残月之肃,3,3,1.0
Gumayusi_暗夜猎手,1,1,1.0
Gumayusi_瘟疫之源,1,1,1.0
Keria_法外狂徒,1,1,1.0
Faker_潮汐海灵,1,1,1.0
Scout_盲僧,1,1,1.0
Doinb_沙漠皇帝,1,1,1.0
Santorin_痛苦之拥,1,1,1.0
Doinb_虚空先知,1,1,1.0
Doinb_腕豪,1,1,1.0
River_酒桶,1,1,1.0
River_影流之主,1,1,1.0
River_永猎双子,1,1,1.0
Gaeng_仙灵女巫,2,2,1.0
icon_圣枪游侠,1,1,1.0
Hans-sama_暗黑元首,1,1,1.0
Bwipo_符文法师,1,1,1.0
River_法外狂徒,1,1,1.0
Adam_荒漠屠夫,1,1,1.0
Humanoid_符文法师,1,1,1.0
GALA_虚空之女,5,5,1.0
Abbedagge_发条魔灵,1,1,1.0
Gumayusi_德邦总管,1,1,1.0
Bdd_时间刺客,1,1,1.0
Rascal_诡术妖姬,1,1,1.0
Cryin_德玛西亚皇子,1,1,1.0
Maple_暗黑元首,1,1,1.0
Tian_影流之主,1,1,1.0
Tarzan_暗裔剑魔,1,1,1.0
Larssen_发条魔灵,1,1,1.0
River_德邦总管,1,1,1.0
Abbedagge_岩雀,1,1,1.0
Abbedagge_疾风剑豪,1,1,1.0
Abbedagge_离群之刺,1,1,1.0
Santorin_元素女皇,3,3,1.0
Bdd_岩雀,2,2,1.0
Faker_元素女皇,2,2,1.0
Khan_符文法师,2,2,1.0
Ale_暗夜猎手,1,1,1.0
icon_发条魔灵,1,1,1.0
icon_英勇投弹手,1,1,1.0
Rascal_德玛西亚皇子,1,1,1.0
Rascal_暴怒骑士,1,1,1.0
Rascal_海洋之灾,1,1,1.0
Khan_解脱者,1,1,1.0
Faker_暗黑元首,1,1,1.0
Ssumday_暗夜猎手,1,1,1.0
Maple_卡牌大师,4,4,1.0
Unified_魂锁典狱长,1,1,1.0
Khan_魔蛇之拥,1,1,1.0
Khan_离群之刺,2,2,1.0
Maple_岩雀,2,2,1.0
Light_戏命师,1,1,1.0
Light_暴走萝莉,1,1,1.0
Ale_破败之王,1,1,1.0
icon_放逐之刃,1,1,1.0
Canna_影流之镰,1,1,1.0
Santorin_唤潮鲛姬,1,1,1.0
Tarzan_狂战士,1,1,1.0
Tarzan_德邦总管,3,3,1.0
Ale_法外狂徒,2,2,1.0
Iwandy_圣枪游侠,2,2,1.0
Light_未来守护者,1,1,1.0
Chovy_沙漠皇帝,1,1,1.0
Scout_暗夜猎手,1,1,1.0
Santorin_曙光女神,1,1,1.0
icon_潮汐海灵,1,1,1.0
Cryin_殇之木乃伊,1,1,1.0
Tarzan_狂野女猎手,1,1,1.0
yoHan_暗裔剑魔,1,1,1.0
Scout_暮光星灵,2,2,1.0
Tarzan_魔法猫咪,1,1,1.0
Ale_暗裔剑魔,1,1,1.0
Keria_酒桶,1,1,1.0
Iwandy_正义巨像,1,1,1.0
Light_复仇之矛,1,1,1.0
Wei_永猎双子,1,1,1.0
Canna_狂暴之心,3,3,1.0
Fudge_灵罗娃娃,1,1,1.0
Viper_麦林炮手,1,1,1.0
Viper_深渊巨口,1,1,1.0
Ssumday_青钢影,1,1,1.0
Wei_德玛西亚皇子,4,4,1.0
Larssen_冰霜女巫,2,2,1.0
Wei_虚空遁地兽,1,1,1.0
Vulcan_魂锁典狱长,2,2,1.0
Zven_皮城女警,1,1,1.0
xiaolaohu_刀锋舞者,2,2,1.0
Wei_痛苦之拥,1,1,1.0
Xiaohu_法外狂徒,1,1,1.0
Elyoya_破败之王,1,1,1.0
Canna_沙漠皇帝,3,3,1.0
Elyoya_虚空掠夺者,1,1,1.0
Khan_酒桶,3,3,1.0
Maple_沙漠皇帝,1,1,1.0
