player,win,total,winrate
Meiko_仙灵女巫,11,12,0.917
Tian_岩雀,10,11,0.909
Xiaohu_刀锋舞者,15,17,0.882
Ming_幻翎,11,13,0.846
Canyon_岩雀,11,13,0.846
Vsta_血港鬼影,9,11,0.818
Faker_解脱者,9,11,0.818
Hans-sama_赏金猎人,9,11,0.818
Iwandy_血港鬼影,9,11,0.818
Tian_刀锋之影,9,11,0.818
Jensen_解脱者,8,10,0.8
Abbedagge_解脱者,8,10,0.8
Meiko_唤潮鲛姬,15,19,0.789
Kaiwing_镕铁少女,15,19,0.789
Unified_赏金猎人,14,18,0.778
Meiko_魔法猫咪,10,13,0.769
xiaolaohu_武器大师,16,21,0.762
Gumayusi_圣枪游侠,31,41,0.756
yoHan_元素女皇,9,12,0.75
ShowMaker_解脱者,15,20,0.75
DuDu_暗裔剑魔,9,12,0.75
Nuguri_未来守护者,11,15,0.733
Tian_元素女皇,11,15,0.733
Xiaohu_灵罗娃娃,8,11,0.727
Tarzan_含羞蓓蕾,8,11,0.727
Nuguri_狂暴之心,13,18,0.722
Viper_圣枪游侠,27,38,0.711
Iwandy_幻翎,24,34,0.706
Nuguri_盲僧,7,10,0.7
Clid_盲僧,14,20,0.7
Oner_岩雀,7,10,0.7
Doinb_符文法师,21,30,0.7
Life_唤潮鲛姬,7,10,0.7
Ale_刀锋舞者,7,10,0.7
Oner_盲僧,14,20,0.7
Vulcan_唤潮鲛姬,9,13,0.692
Nuguri_灵罗娃娃,9,13,0.692
Nisqy_蛮族之王,9,13,0.692
Wei_盲僧,9,13,0.692
Carzzy_圣枪游侠,11,16,0.688
xiaolaohu_青钢影,11,16,0.688
Armut_法外狂徒,13,19,0.684
Wei_时间刺客,13,19,0.684
Crisp_幻翎,13,19,0.684
Canna_法外狂徒,21,31,0.677
Gumayusi_荣耀行刑官,10,15,0.667
Lwx_残月之肃,8,12,0.667
Deft_圣枪游侠,8,12,0.667
Light_残月之肃,10,15,0.667
Flandre_元素女皇,8,12,0.667
Khan_刀锋舞者,10,15,0.667
Life_天启者,10,15,0.667
Flandre_刀锋舞者,12,18,0.667
Oner_刀锋之影,8,12,0.667
Tian_盲僧,15,23,0.652
Ruler_圣枪游侠,15,23,0.652
Clid_元素女皇,11,17,0.647
DuDu_蛮族之王,11,17,0.647
Rascal_狂暴之心,9,14,0.643
GALA_残月之肃,25,39,0.641
Cryin_符文法师,7,11,0.636
CoreJJ_殇之木乃伊,7,11,0.636
Carzzy_残月之肃,7,11,0.636
Ruler_戏命师,7,11,0.636
Hans-sama_荣耀行刑官,7,11,0.636
Xiaohu_暗裔剑魔,7,11,0.636
Ale_灵罗娃娃,7,11,0.636
Wei_元素女皇,12,19,0.632
Tarzan_盲僧,12,19,0.632
xiaolaohu_灵罗娃娃,17,27,0.63
Scout_蛮族之王,10,16,0.625
Hans-sama_圣枪游侠,10,16,0.625
Canna_无双剑姬,8,13,0.615
Iwandy_魔法猫咪,8,13,0.615
Elyoya_盲僧,6,10,0.6
Santorin_盲僧,6,10,0.6
Unified_麦林炮手,6,10,0.6
Khan_未来守护者,6,10,0.6
Crisp_殇之木乃伊,6,10,0.6
Odoamne_暗裔剑魔,6,10,0.6
Jensen_封魔剑魂,12,20,0.6
Wei_破败之王,6,10,0.6
Closer_元素女皇,6,10,0.6
Morgan_法外狂徒,9,15,0.6
Oner_元素女皇,15,25,0.6
Maple_蛮族之王,6,10,0.6
Iwandy_镕铁少女,6,10,0.6
ShowMaker_封魔剑魂,6,10,0.6
Gumayusi_残月之肃,6,10,0.6
GALA_圣枪游侠,37,62,0.597
Light_圣枪游侠,10,17,0.588
Maple_符文法师,7,12,0.583
Morgan_刀锋舞者,7,12,0.583
Ming_曙光女神,7,12,0.583
