gameid,win1,win2,win3,win4,win5,lose1,lose2,lose3,lose4,lose5
5506556877,法外狂徒,痛苦之拥,时间刺客,赏金猎人,幻翎,迷失之牙,刀锋之影,诡术妖姬,复仇之矛,魂锁典狱长
5506231202,狂暴之心,元素女皇,不祥之刃,赏金猎人,牛头酋长,铁铠冥魂,傲之追猎者,符文法师,虚空之女,仙灵女巫
5506173495,暮光之眼,虚空掠夺者,无极剑圣,爆破鬼才,涤魂圣枪,法外狂徒,破败之王,死亡颂唱者,远古巫灵,殇之木乃伊
5504911534,未来守护者,盲僧,虚空行者,暴走萝莉,魂锁典狱长,法外狂徒,影流之主,沙漠皇帝,残月之肃,瓦洛兰之盾
5504666680,熔岩巨兽,皎月女神,机械先驱,戏命师,唤潮鲛姬,法外狂徒,水晶先锋,冰晶凤凰,赏金猎人,幻翎
5504579193,暮光之眼,盲僧,万花通灵,残月之肃,曙光女神,青钢影,含羞蓓蕾,封魔剑魂,荣耀行刑官,魂锁典狱长
5504592085,未来守护者,狂野女猎手,猩红收割者,圣枪游侠,唤潮鲛姬,德玛西亚之力,酒桶,蛮族之王,赏金猎人,星界游神
5504088360,炼金术士,法外狂徒,蛮族之王,戏命师,琴瑟仙女,刀锋之影,时间刺客,暗黑元首,赏金猎人,魔法猫咪
5503669508,暗裔剑魔,破败之王,酒桶,虚空之女,殇之木乃伊,沙漠死神,元素女皇,暮光星灵,圣枪游侠,死亡颂唱者
5503574799,灵罗娃娃,盲僧,冰霜女巫,残月之肃,幻翎,圣锤之毅,破败之王,解脱者,戏命师,正义巨像
5502204176,无双剑姬,战争之影,解脱者,探险家,大发明家,刀锋舞者,傲之追猎者,时间刺客,暗夜猎手,星界游神
5501808323,刀锋舞者,盲僧,酒桶,圣枪游侠,幻翎,蛮族之王,生化魔人,封魔剑魂,残月之肃,仙灵女巫
5500879803,无双剑姬,盲僧,虚空行者,瘟疫之源,巨魔之王,暗裔剑魔,雪原双子,愁云使者,沙漠玫瑰,曙光女神
